ORGAN_CODE,CATEGORY,YY,VAL
4460000,대설,2017,
4480000,대설,2017,
5650000,대설,2017,
4500000,대설,2017,
4550000,대설,2017,
4640000,대설,2017,
4670000,대설,2017,
4700000,대설,2017,
4740000,대설,2017,
4750000,대설,2017,
4770000,대설,2017,
4780000,대설,2017,
4790000,대설,2017,
4850000,대설,2017,
4950000,대설,2017,
4970000,대설,2017,
5030000,대설,2017,
5040000,대설,2017,
5050000,대설,2017,
5060000,대설,2017,
5070000,대설,2017,
5080000,대설,2017,
5090000,대설,2017,
5100000,대설,2017,
5110000,대설,2017,
5120000,대설,2017,
5130000,대설,2017,
5140000,대설,2017,
5150000,대설,2017,
5160000,대설,2017,
5170000,대설,2017,
5190000,대설,2017,
5210000,대설,2017,
5220000,대설,2017,
5230000,대설,2017,
5240000,대설,2017,
5450000,대설,2017,
5460000,대설,2017,
5470000,대설,2017,
5480000,대설,2017,
6520000,대설,2017,65740
3260000,"풍랑,강풍",2017,304274
3300000,"풍랑,강풍",2017,
3340000,"풍랑,강풍",2017,600
3360000,"풍랑,강풍",2017,41108
3400000,"풍랑,강풍",2017,
3550000,"풍랑,강풍",2017,
3570000,"풍랑,강풍",2017,
3950000,"풍랑,강풍",2017,
3960100,"풍랑,강풍",2017,
4100100,"풍랑,강풍",2017,
5620000,"풍랑,강풍",2017,
4060000,"풍랑,강풍",2017,
4070000,"풍랑,강풍",2017,
4090000,"풍랑,강풍",2017,
5530000,"풍랑,강풍",2017,
5540000,"풍랑,강풍",2017,
5590000,"풍랑,강풍",2017,
5600000,"풍랑,강풍",2017,
4140000,"풍랑,강풍",2017,
4160000,"풍랑,강풍",2017,
4200000,"풍랑,강풍",2017,
4220000,"풍랑,강풍",2017,
4240000,"풍랑,강풍",2017,15000
4250000,"풍랑,강풍",2017,
4280000,"풍랑,강풍",2017,
4300000,"풍랑,강풍",2017,
4310000,"풍랑,강풍",2017,
4340000,"풍랑,강풍",2017,
4350000,"풍랑,강풍",2017,
5720000,"풍랑,강풍",2017,
5735000,"풍랑,강풍",2017,
4390000,"풍랑,강풍",2017,
4430000,"풍랑,강풍",2017,
5570000,"풍랑,강풍",2017,
4450000,"풍랑,강풍",2017,
4740000,"풍랑,강풍",2017,
5010000,"풍랑,강풍",2017,
5030000,"풍랑,강풍",2017,
5040000,"풍랑,강풍",2017,
5050000,"풍랑,강풍",2017,
5070000,"풍랑,강풍",2017,
5090000,"풍랑,강풍",2017,
5110000,"풍랑,강풍",2017,
5120000,"풍랑,강풍",2017,
5170000,"풍랑,강풍",2017,
5180000,"풍랑,강풍",2017,175010
5190000,"풍랑,강풍",2017,
5370000,"풍랑,강풍",2017,9790
5380000,"풍랑,강풍",2017,
5400000,"풍랑,강풍",2017,
5430000,"풍랑,강풍",2017,
5460000,"풍랑,강풍",2017,
6510000,"풍랑,강풍",2017,
6520000,"풍랑,강풍",2017,59472
3120000,태풍,2017,
3160000,태풍,2017,
3190000,태풍,2017,
3210000,태풍,2017,
3250000,태풍,2017,
3260000,태풍,2017,
3270000,태풍,2017,
3280000,태풍,2017,
3290000,태풍,2017,
3300000,태풍,2017,
3310000,태풍,2017,
3320000,태풍,2017,
3330000,태풍,2017,
3340000,태풍,2017,
3350000,태풍,2017,
3360000,태풍,2017,
3370000,태풍,2017,
3380000,태풍,2017,
3390000,태풍,2017,
3400000,태풍,2017,
3480000,태풍,2017,
3490000,태풍,2017,
3500000,태풍,2017,
3510500,태풍,2017,
3520000,태풍,2017,
3530000,태풍,2017,
3540000,태풍,2017,
3550000,태풍,2017,
3560000,태풍,2017,
3570000,태풍,2017,
3580000,태풍,2017,
3590000,태풍,2017,
3600000,태풍,2017,
3610000,태풍,2017,
3620000,태풍,2017,
3630000,태풍,2017,
3640000,태풍,2017,
3650000,태풍,2017,
3660000,태풍,2017,
3670000,태풍,2017,
3680000,태풍,2017,
3690000,태풍,2017,
3700000,태풍,2017,
3710000,태풍,2017,
3720000,태풍,2017,
3730000,태풍,2017,
5690000,태풍,2017,
3750000,태풍,2017,
3760000,태풍,2017,
3790000,태풍,2017,
3810000,태풍,2017,
3820000,태풍,2017,
3860000,태풍,2017,
3900000,태풍,2017,
3910000,태풍,2017,
3920000,태풍,2017,
5550000,태풍,2017,
5560000,태풍,2017,
3950000,태풍,2017,
3960100,태풍,2017,
4100100,태풍,2017,
3970000,태풍,2017,
3980000,태풍,2017,
3990000,태풍,2017,
4000000,태풍,2017,
4010000,태풍,2017,
4030000,태풍,2017,
4040000,태풍,2017,
5620000,태풍,2017,
4060000,태풍,2017,
4070000,태풍,2017,
4080000,태풍,2017,
4090000,태풍,2017,
5530000,태풍,2017,
5540000,태풍,2017,
5590000,태풍,2017,
5600000,태풍,2017,
5700000,태풍,2017,
4140000,태풍,2017,
4160000,태풍,2017,
4170000,태풍,2017,
4180000,태풍,2017,
4190000,태풍,2017,
4200000,태풍,2017,
4210000,태풍,2017,
4220000,태풍,2017,
4230000,태풍,2017,
4240000,태풍,2017,
4250000,태풍,2017,
4260000,태풍,2017,
4270000,태풍,2017,
4280000,태풍,2017,
4290000,태풍,2017,
4300000,태풍,2017,
4310000,태풍,2017,
4320000,태풍,2017,
4330000,태풍,2017,
4340000,태풍,2017,
4350000,태풍,2017,
5710000,태풍,2017,
5720000,태풍,2017,
5725000,태풍,2017,
5730000,태풍,2017,
5735000,태풍,2017,
4390000,태풍,2017,
4400000,태풍,2017,
4420000,태풍,2017,
4430000,태풍,2017,
4440000,태풍,2017,
5570000,태풍,2017,
4450000,태풍,2017,
4460000,태풍,2017,
4470000,태풍,2017,
4480000,태풍,2017,
4490000,태풍,2017,
5650000,태풍,2017,
5660000,태풍,2017,
4500000,태풍,2017,
4510000,태풍,2017,
4520000,태풍,2017,
4530000,태풍,2017,
4540000,태풍,2017,
5580000,태풍,2017,
5680000,태풍,2017,
4550000,태풍,2017,
4570000,태풍,2017,
4580000,태풍,2017,
4590000,태풍,2017,
4600000,태풍,2017,
4610000,태풍,2017,
4620000,태풍,2017,
4640000,태풍,2017,
4650000,태풍,2017,
4660000,태풍,2017,
4670000,태풍,2017,
4680000,태풍,2017,
4690000,태풍,2017,
4700000,태풍,2017,
4710000,태풍,2017,
4720000,태풍,2017,
4730000,태풍,2017,
4740000,태풍,2017,
4750000,태풍,2017,
4760000,태풍,2017,
4770000,태풍,2017,
4780000,태풍,2017,
4790000,태풍,2017,
4800000,태풍,2017,
4810000,태풍,2017,
4820000,태풍,2017,
4830000,태풍,2017,
4840000,태풍,2017,
4850000,태풍,2017,
4860000,태풍,2017,
4870000,태풍,2017,
4880000,태풍,2017,
4890000,태풍,2017,
4900000,태풍,2017,
4910000,태풍,2017,
4920000,태풍,2017,
4930000,태풍,2017,
4940000,태풍,2017,
4950000,태풍,2017,
4960000,태풍,2017,
4970000,태풍,2017,
4980000,태풍,2017,
4990000,태풍,2017,
5000000,태풍,2017,
5010000,태풍,2017,
5020000,태풍,2017,
5030000,태풍,2017,
5040000,태풍,2017,
5050000,태풍,2017,
5060000,태풍,2017,
5070000,태풍,2017,
5080000,태풍,2017,
5090000,태풍,2017,
5100000,태풍,2017,
5110000,태풍,2017,
5120000,태풍,2017,
5130000,태풍,2017,
5140000,태풍,2017,
5150000,태풍,2017,
5160000,태풍,2017,
5170000,태풍,2017,
5180000,태풍,2017,
5190000,태풍,2017,
5200000,태풍,2017,
5210000,태풍,2017,
5220000,태풍,2017,
5230000,태풍,2017,
5240000,태풍,2017,
5250000,태풍,2017,
5260000,태풍,2017,
5670000,태풍,2017,
5670123,태풍,2017,
5670140,태풍,2017,
5670156,태풍,2017,
5670184,태풍,2017,
5670206,태풍,2017,
5310000,태풍,2017,
5330000,태풍,2017,
5340000,태풍,2017,
5350000,태풍,2017,
5360000,태풍,2017,
5370000,태풍,2017,
5380000,태풍,2017,
5390000,태풍,2017,
5400000,태풍,2017,
5410000,태풍,2017,
5420000,태풍,2017,
5430000,태풍,2017,
5440000,태풍,2017,
5450000,태풍,2017,
5460000,태풍,2017,
5470000,태풍,2017,
5480000,태풍,2017,
6510000,태풍,2017,
6520000,태풍,2017,
3280000,"태풍,호우",2017,
3340000,"태풍,호우",2017,
3360000,"태풍,호우",2017,
3370000,"태풍,호우",2017,
3400000,"태풍,호우",2017,
3660000,"태풍,호우",2017,
3720000,"태풍,호우",2017,
3730000,"태풍,호우",2017,
3790000,"태풍,호우",2017,
3910000,"태풍,호우",2017,
5560000,"태풍,호우",2017,
3950000,"태풍,호우",2017,
4100100,"태풍,호우",2017,
4000000,"태풍,호우",2017,
4010000,"태풍,호우",2017,
5620000,"태풍,호우",2017,
5640000,"태풍,호우",2017,
4070000,"태풍,호우",2017,
4080000,"태풍,호우",2017,
5530000,"태풍,호우",2017,
5540000,"태풍,호우",2017,
5590000,"태풍,호우",2017,
5700000,"태풍,호우",2017,
4170000,"태풍,호우",2017,
4220000,"태풍,호우",2017,
4300000,"태풍,호우",2017,
5725000,"태풍,호우",2017,
5730000,"태풍,호우",2017,
5735000,"태풍,호우",2017,
4470000,"태풍,호우",2017,
4480000,"태풍,호우",2017,
5650000,"태풍,호우",2017,
5660000,"태풍,호우",2017,
4500000,"태풍,호우",2017,
4510000,"태풍,호우",2017,
4520000,"태풍,호우",2017,
4540000,"태풍,호우",2017,
5680000,"태풍,호우",2017,
4550000,"태풍,호우",2017,
4570000,"태풍,호우",2017,
4580000,"태풍,호우",2017,
4590000,"태풍,호우",2017,
4610000,"태풍,호우",2017,
4620000,"태풍,호우",2017,
4650000,"태풍,호우",2017,
4660000,"태풍,호우",2017,
4670000,"태풍,호우",2017,
4680000,"태풍,호우",2017,
4690000,"태풍,호우",2017,
4700000,"태풍,호우",2017,
4710000,"태풍,호우",2017,
4720000,"태풍,호우",2017,
4730000,"태풍,호우",2017,
4740000,"태풍,호우",2017,
4750000,"태풍,호우",2017,
4760000,"태풍,호우",2017,
4780000,"태풍,호우",2017,
4790000,"태풍,호우",2017,
4810000,"태풍,호우",2017,
4820000,"태풍,호우",2017,
4830000,"태풍,호우",2017,
4840000,"태풍,호우",2017,
4850000,"태풍,호우",2017,
4860000,"태풍,호우",2017,
4880000,"태풍,호우",2017,
4890000,"태풍,호우",2017,
4900000,"태풍,호우",2017,
4910000,"태풍,호우",2017,
4920000,"태풍,호우",2017,
4930000,"태풍,호우",2017,
4940000,"태풍,호우",2017,
4950000,"태풍,호우",2017,
4960000,"태풍,호우",2017,
4970000,"태풍,호우",2017,
4980000,"태풍,호우",2017,
4990000,"태풍,호우",2017,
5000000,"태풍,호우",2017,
5010000,"태풍,호우",2017,
5030000,"태풍,호우",2017,
5040000,"태풍,호우",2017,
5050000,"태풍,호우",2017,
5060000,"태풍,호우",2017,
5070000,"태풍,호우",2017,
5080000,"태풍,호우",2017,
5090000,"태풍,호우",2017,
5140000,"태풍,호우",2017,
5150000,"태풍,호우",2017,
5160000,"태풍,호우",2017,
5170000,"태풍,호우",2017,
5180000,"태풍,호우",2017,
5190000,"태풍,호우",2017,
5210000,"태풍,호우",2017,
5220000,"태풍,호우",2017,
5230000,"태풍,호우",2017,
5310000,"태풍,호우",2017,
5330000,"태풍,호우",2017,
5340000,"태풍,호우",2017,
5350000,"태풍,호우",2017,
5360000,"태풍,호우",2017,
5370000,"태풍,호우",2017,
5380000,"태풍,호우",2017,
5390000,"태풍,호우",2017,
5400000,"태풍,호우",2017,
5440000,"태풍,호우",2017,
5460000,"태풍,호우",2017,
5470000,"태풍,호우",2017,
5480000,"태풍,호우",2017,
6510000,"태풍,호우",2017,
3000000,호우,2018,
3030000,호우,2018,2700
3050000,호우,2018,19800
3060000,호우,2018,
3070000,호우,2018,644800
3080000,호우,2018,552042
3090000,호우,2018,221400
3100000,호우,2018,317940
3110000,호우,2018,621900
3120000,호우,2018,69300
3130000,호우,2018,2700
3140000,호우,2018,99000
3150000,호우,2018,51300
3160000,호우,2018,
3180000,호우,2018,
3190000,호우,2018,
3200000,호우,2018,
3210000,호우,2018,
3220000,호우,2018,9000
3240000,호우,2018,10800
3250000,호우,2018,
3260000,호우,2018,
3270000,호우,2018,
3280000,호우,2018,
3290000,호우,2018,
3300000,호우,2018,
3310000,호우,2018,
3320000,호우,2018,
3330000,호우,2018,
3340000,호우,2018,
3350000,호우,2018,
3360000,호우,2018,
3370000,호우,2018,
3380000,호우,2018,
3390000,호우,2018,
3400000,호우,2018,
3420000,호우,2018,
