ORGAN_CODE,YY,CATEGORY,VAL
3060000,2017,주차장,90288.5
3060000,2017,주유소용지,18993
3060000,2017,창고용지,7681.3
3060000,2017,도로,2729512.5
3060000,2017,철도용지,415061
3060000,2017,제방,170716
3060000,2017,하천,908517.9
3060000,2017,구거,175080.9
3060000,2017,유지,73119.3
3060000,2017,양어장,0
3060000,2017,수도용지,3958
3060000,2017,공원,988890.2
3060000,2017,체육용지,0
3060000,2017,유원지,0
3060000,2017,종교용지,83625.9
3060000,2017,사적지,0
3060000,2017,묘지,1413631.2
3060000,2017,잡종지,172158.2
3070000,2017,계,24573191.8
3070000,2017,전,64810
3070000,2017,답,55798
3070000,2017,과수원,0
3070000,2017,목장용지,0
3070000,2017,임야,8131216.2
3070000,2017,광천지,0
3070000,2017,염전,0
3070000,2017,대,10245089.2
3070000,2017,공장용지,0
3070000,2017,학교용지,1623350.8
3070000,2017,주차장,11352.3
3070000,2017,주유소용지,27278
3070000,2017,창고용지,1661.3
3070000,2017,도로,2730816.2
3070000,2017,철도용지,141756
3070000,2017,제방,33528
3070000,2017,하천,539366.4
3070000,2017,구거,153496.2
3070000,2017,유지,1434
3070000,2017,양어장,0
3070000,2017,수도용지,6102.7
3070000,2017,공원,508306.5
3070000,2017,체육용지,0
3070000,2017,유원지,0
3070000,2017,종교용지,187282.7
3070000,2017,사적지,2694
3070000,2017,묘지,53874
3070000,2017,잡종지,53979.3
3080000,2017,계,23600563.3
3080000,2017,전,73070
3080000,2017,답,31576
3080000,2017,과수원,0
3080000,2017,목장용지,0
3080000,2017,임야,12785360.9
3080000,2017,광천지,0
3080000,2017,염전,0
3080000,2017,대,6607763.6
3080000,2017,공장용지,4290.4
3080000,2017,학교용지,552284.2
3080000,2017,주차장,25471.2
3080000,2017,주유소용지,18082.2
3080000,2017,창고용지,192
3080000,2017,도로,1996878.7
3080000,2017,철도용지,0
3080000,2017,제방,65
3080000,2017,하천,332302.9
3080000,2017,구거,87579.9
3080000,2017,유지,2092
3080000,2017,양어장,0
3080000,2017,수도용지,22944
3080000,2017,공원,726024
3080000,2017,체육용지,0
3080000,2017,유원지,9716
3080000,2017,종교용지,153953.1
3080000,2017,사적지,0
3080000,2017,묘지,74183
3080000,2017,잡종지,96734.2
3090000,2017,계,20668257
