ORGAN_CODE,CATEGORY,VAL
3190000,산림면적,373
3200000,산림면적,1739
3210000,산림면적,1607
3220000,산림면적,713
3230000,산림면적,106
3240000,산림면적,297
6260000,산림면적,34926
3250000,산림면적,13
3260000,산림면적,678
3270000,산림면적,276
3280000,산림면적,403
3290000,산림면적,1040
3300000,산림면적,460
3310000,산림면적,910
3320000,산림면적,2285
3330000,산림면적,2866
3340000,산림면적,1371
3350000,산림면적,4120
3360000,산림면적,4229
3370000,산림면적,301
3380000,산림면적,244
3390000,산림면적,1248
3400000,산림면적,14482
6270000,산림면적,48338
3410000,산림면적,
3420000,산림면적,11385
3430000,산림면적,206
3440000,산림면적,678
3450000,산림면적,4602
3460000,산림면적,3771
3470000,산림면적,2119
3480000,산림면적,25577
6280000,산림면적,39373
3490000,산림면적,3266
3500000,산림면적,6
3510500,산림면적,241
3520000,산림면적,427
3530000,산림면적,1261
3540000,산림면적,828
3550000,산림면적,1146
3560000,산림면적,3079
3570000,산림면적,17712
3580000,산림면적,11407
6290000,산림면적,18944
3590000,산림면적,3461
3600000,산림면적,791
3610000,산림면적,1795
3620000,산림면적,5398
3630000,산림면적,7499
6300000,산림면적,29764
3640000,산림면적,8744
3650000,산림면적,3423
3660000,산림면적,5115
3670000,산림면적,9631
3680000,산림면적,2851
6310000,산림면적,68001
3690000,산림면적,1422
3700000,산림면적,1757
3710000,산림면적,1872
3720000,산림면적,11094
3730000,산림면적,51856
5690000,산림면적,24849
#N/A,산림면적,24849
6410000,산림면적,512105
3740000,산림면적,2593
3780000,산림면적,6881
3820000,산림면적,4690
3830000,산림면적,2993
3860000,산림면적,955
3900000,산림면적,1472
3910000,산림면적,7762
3920000,산림면적,6289
3930000,산림면적,6205
3940000,산림면적,9236
3970000,산림면적,2327
3980000,산림면적,1284
3990000,산림면적,30822
4000000,산림면적,1074
4010000,산림면적,4156
4020000,산림면적,1663
4030000,산림면적,3392
4040000,산림면적,4810
4050000,산림면적,29908
4060000,산림면적,26947
4070000,산림면적,16460
4080000,산림면적,23711
4090000,산림면적,6714
5530000,산림면적,17350
5540000,산림면적,28194
5590000,산림면적,15972
5600000,산림면적,53199
5700000,산림면적,28420
4140000,산림면적,36954
4160000,산림면적,68332
4170000,산림면적,61340
6420000,산림면적,1366644
4180000,산림면적,79716
4190000,산림면적,60704
4200000,산림면적,82654
4210000,산림면적,13635
4220000,산림면적,26713
4230000,산림면적,7957
4240000,산림면적,102169
4250000,산림면적,148328
4260000,산림면적,72054
4270000,산림면적,89690
4280000,산림면적,119088
4290000,산림면적,99786
4300000,산림면적,63894
4310000,산림면적,79641
4320000,산림면적,57704
4330000,산림면적,158948
4340000,산림면적,51936
4350000,산림면적,52027
6430000,산림면적,488337
5710000,산림면적,47302
4390000,산림면적,61131
4400000,산림면적,64368
4420000,산림면적,39064
4430000,산림면적,34431
4440000,산림면적,63872
5570000,산림면적,4065
4450000,산림면적,23527
4460000,산림면적,63656
4470000,산림면적,24378
4480000,산림면적,62543
6440000,산림면적,404097
4490000,산림면적,32298
4500000,산림면적,60332
4510000,산림면적,33552
4520000,산림면적,18450
4530000,산림면적,29744
4540000,산림면적,22554
5580000,산림면적,3961
5680000,산림면적,21841
4550000,산림면적,40599
4570000,산림면적,31692
4580000,산림면적,14841
4590000,산림면적,30466
4600000,산림면적,18834
4610000,산림면적,23225
4620000,산림면적,21708
6450000,산림면적,440746
4640000,산림면적,6109
4670000,산림면적,7996
4680000,산림면적,11850
4690000,산림면적,32142
4700000,산림면적,46604
4710000,산림면적,9045
4720000,산림면적,58592
4730000,산림면적,59406
4740000,산림면적,51547
4750000,산림면적,39963
4760000,산림면적,41239
4770000,산림면적,32812
4780000,산림면적,22864
4790000,산림면적,20577
6460000,산림면적,686852
4800000,산림면적,1111
4810000,산림면적,30328
4820000,산림면적,62162
4830000,산림면적,22512
4840000,산림면적,30104
4850000,산림면적,27447
4860000,산림면적,38337
4870000,산림면적,34747
4880000,산림면적,45852
4890000,산림면적,40872
4900000,산림면적,55851
4910000,산림면적,39928
4920000,산림면적,28678
4930000,산림면적,44278
4940000,산림면적,22250
4950000,산림면적,12951
4960000,산림면적,16742
