ORGAN_CODE,YY,VAL
6110000,2017,78814734.2
3000000,2017,2370385.6
3010000,2017,2146271.5
3020000,2017,2477211.4
3030000,2017,2240206.4
3040000,2017,2490293.2
3050000,2017,2638941.3
3060000,2017,2729512.5
3070000,2017,2730816.2
3080000,2017,1996878.7
3090000,2017,2071678.7
3100000,2017,2801216.9
3110000,2017,2890307.7
3120000,2017,2163468.7
3130000,2017,3471521.8
3140000,2017,3105446
3150000,2017,3993816
3160000,2017,2848836.7
3170000,2017,2021537.9
3180000,2017,4270918.1
3190000,2017,2348025.8
3200000,2017,2607616.5
3210000,2017,6262607.9
3220000,2017,6694889.7
3230000,2017,5819405.9
3240000,2017,3622923.1
3250000,2017,746615.6
3360000,2017,13196488.3
6260000,2017,57532738.5
3260000,2017,1342040.2
3270000,2017,1480047.7
3280000,2017,1348776.6
3290000,2017,3136395.5
3300000,2017,2351331.5
3310000,2017,2738236.3
3320000,2017,2350861.4
3330000,2017,4009138.4
3340000,2017,3877627.7
3350000,2017,3889587.3
3370000,2017,1756322.3
3380000,2017,1611836.7
3390000,2017,3243045.6
3400000,2017,10454387.4
3410000,2017,1714356
3430000,2017,3406603.7
3420000,2017,10038859.7
3440000,2017,2247034.6
3450000,2017,8672025.6
6270000,2017,58759349.2
3460000,2017,7410075.8
3470000,2017,8373547.9
3480000,2017,16896845.9
3490000,2017,12119261.3
3560000,2017,13056890.5
3500000,2017,1122314.3
6280000,2017,79178165.6
3510500,2017,5014827.1
3520000,2017,8691036.6
3530000,2017,9062256.7
3540000,2017,4594953.3
3550000,2017,5159042.3
3570000,2017,16574757
3580000,2017,3782826.5
3600000,2017,6336958.4
3590000,2017,2749194.9
3610000,2017,4848997.2
3620000,2017,9946859.6
6290000,2017,39534840.8
3630000,2017,15652830.7
3650000,2017,4596229.4
3660000,2017,8025318.7
3640000,2017,7793818.2
6300000,2017,39323129.5
3670000,2017,12534647.1
3680000,2017,6373116.1
3690000,2017,4020420.8
3710000,2017,2755394.9
3700000,2017,7724675.2
3720000,2017,5291395.2
6310000,2017,44822428.5
3730000,2017,25030542.4
6410000,2017,435239645.8
3740000,2017,15321269.8
3780000,2017,15682552.2
3820000,2017,6231714.4
3830000,2017,5871065.7
3860000,2017,
3860000,2017,9394270.4
3900000,2017,4169650
3910000,2017,28546913.1
3920000,2017,2792713.5
3930000,2017,16817704.2
3940000,2017,19783520.8
3970000,2017,2222071.2
3980000,2017,3135962.7
3990000,2017,14362347.5
4000000,2017,5160400.7
4010000,2017,17756417.1
4020000,2017,3703401.9
4030000,2017,4819021.4
4040000,2017,5207715.7
4050000,2017,22888851.2
4060000,2017,24334704.3
4070000,2017,23363528.2
4080000,2017,21867292.3
4090000,2017,16503707.8
5530000,2017,40235026.7
5540000,2017,13157060.7
5590000,2017,10852646.1
5600000,2017,16005668.3
5700000,2017,23806991.7
4140000,2017,10883744.6
4160000,2017,10789295
4170000,2017,19572416.6
5690000,2017,18310276.9
6420000,2017,268258611
4180000,2017,21798034.8
4190000,2017,27272213.9
4200000,2017,24394311.7
4210000,2017,7166601.5
4220000,2017,4101978.1
4230000,2017,4169261.7
4240000,2017,17796223.7
