ORGAN_CODE,CATEGORY,YY,VAL
3400000,³í,2018,627.8398
6270000,³í,2018,3534.8068
3480000,³í,2018,2996.2473
6280000,³í,2018,11547.2614
3570000,³í,2018,9760.5772
6290000,³í,2018,5792.3067
3630000,³í,2018,3304.2636
6300000,³í,2018,1400.1635
6310000,³í,2018,5485.3462
3730000,³í,2018,4728.434
5690000,³í,2018,4386.7535
6410000,³í,2018,86242.8207
3740000,³í,2018,447.7525
3780000,³í,2018,35.5734
3820000,³í,2018,93.2029
3830000,³í,2018,0
3860000,³í,2018,266.2055
3900000,³í,2018,124.7392
3910000,³í,2018,12678.6875
3920000,³í,2018,76.7813
3930000,³í,2018,697.761
3940000,³í,2018,1320.1265
3970000,³í,2018,9.9479
3980000,³í,2018,0
3990000,³í,2018,272.3257
4000000,³í,2018,235.8472
4010000,³í,2018,869.9099
4020000,³í,2018,77.3467
4030000,³í,2018,83.5754
4040000,³í,2018,6.1724
4050000,³í,2018,4005.7924
4060000,³í,2018,6624.8832
4070000,³í,2018,8697.3014
4080000,³í,2018,8336.577
4090000,³í,2018,5165.2056
5530000,³í,2018,13488.1377
5540000,³í,2018,756.6423
5590000,³í,2018,1494.6148
5600000,³í,2018,3696.0969
5700000,³í,2018,7964.4879
4140000,³í,2018,3681.966
4160000,³í,2018,1127.1272
4170000,³í,2018,3908.0333
6420000,³í,2018,34169.6202
4180000,³í,2018,1797.3613
4190000,³í,2018,3590.3466
4200000,³í,2018,2405.477
4210000,³í,2018,251.991
4220000,³í,2018,2
4230000,³í,2018,395.4125
4240000,³í,2018,943.7592
4250000,³í,2018,2953.6722
4260000,³í,2018,2653.8799
4270000,³í,2018,475.6917
4280000,³í,2018,185.3763
4290000,³í,2018,145.714
4300000,³í,2018,10169.4911
4310000,³í,2018,633.488
4320000,³í,2018,1501.0656
4330000,³í,2018,949.3247
4340000,³í,2018,3205.355
4350000,³í,2018,1910.2141
6430000,³í,2018,38612.5133
5710000,³í,2018,10239.9544
4390000,³í,2018,5323.9281
4400000,³í,2018,2280.3277
4420000,³í,2018,4061.2802
4430000,³í,2018,2052.4686
4440000,³í,2018,1170.5666
4450000,³í,2018,4526.1073
4460000,³í,2018,3097.5286
4470000,³í,2018,4468.2956
4480000,³í,2018,309.8985
5570000,³í,2018,1082.1577
6440000,³í,2018,146703.3528
4490000,³í,2018,6161.1911
4500000,³í,2018,7201.6063
4510000,³í,2018,9142.4406
4520000,³í,2018,10120.8228
4530000,³í,2018,20293.0778
4540000,³í,2018,11621.1435
5580000,³í,2018,284.7136
5680000,³í,2018,20417.1065
4550000,³í,2018,1476.9475
4570000,³í,2018,12405.693
4580000,³í,2018,10476.4127
4590000,³í,2018,6345.8223
4600000,³í,2018,9835.18
4610000,³í,2018,11737.4779
4620000,³í,2018,9183.7172
6450000,³í,2018,128333.1855
4640000,³í,2018,2969.6217
4670000,³í,2018,12718.7271
4680000,³í,2018,18067.5832
4690000,³í,2018,14019.9809
4700000,³í,2018,10483.3253
4710000,³í,2018,20559.7465
4720000,³í,2018,4460.7479
4730000,³í,2018,2226.6559
4740000,³í,2018,1193.041
4750000,³í,2018,2925.0873
4760000,³í,2018,4257.1063
4770000,³í,2018,6071.0968
4780000,³í,2018,13789.8762
4790000,³í,2018,14590.5894
6460000,³í,2018,173985.5826
4800000,³í,2018,119.818
4810000,³í,2018,2441.6815
4820000,³í,2018,5640.0172
4830000,³í,2018,13996.8042
4840000,³í,2018,1384.1181
4850000,³í,2018,6507.0786
4860000,³í,2018,4932.6031
4870000,³í,2018,2991.8862
4880000,³í,2018,13744.7752
4890000,³í,2018,8247.4944
4900000,³í,2018,5542.6378
4910000,³í,2018,9106.6415
4920000,³í,2018,10333.0747
4930000,³í,2018,20987.5815
4940000,³í,2018,15797.6496
4950000,³í,2018,9769.2005
4960000,³í,2018,8092.3703
4970000,³í,2018,11195.1552
4980000,³í,2018,4750.2333
4990000,³í,2018,2524.291
5000000,³í,2018,6345.997
5010000,³í,2018,9534.4737
6470000,³í,2018,118812.9013
5020000,³í,2018,7943.8548
5050000,³í,2018,13680.5805
5060000,³í,2018,5518.5715
5070000,³í,2018,6308.1608
5080000,³í,2018,8483.7983
5090000,³í,2018,4494.3089
5100000,³í,2018,4187.6626
5110000,³í,2018,13147.6962
5120000,³í,2018,4597.536
5130000,³í,2018,931.6204
5140000,³í,2018,2845.3892
5150000,³í,2018,9996.9215
5160000,³í,2018,1252.8544
5170000,³í,2018,1340.4322
5180000,³í,2018,2958.1428
5190000,³í,2018,2734.5633
5200000,³í,2018,4357.5655
5210000,³í,2018,5856.4808
5220000,³í,2018,2702.718
5230000,³í,2018,9684.3662
5240000,³í,2018,2811.7555
5250000,³í,2018,2977.9219
5260000,³í,2018,0
6480000,³í,2018,81990.7665
5670000,³í,2018,5175.59
5310000,³í,2018,5765.4435
5330000,³í,2018,428.4078
5340000,³í,2018,4145.1247
5350000,³í,2018,4449.5914
5360000,³í,2018,6607.5967
5370000,³í,2018,1913.1309
5380000,³í,2018,1264.8479
5390000,³í,2018,4255.9042
5400000,³í,2018,5951.182
5410000,³í,2018,7299.1046
5420000,³í,2018,6523.9133
5430000,³í,2018,2249.7485
5440000,³í,2018,4476.2221
5450000,³í,2018,4159.1689
5460000,³í,2018,3942.5962
5470000,³í,2018,5365.2699
5480000,³í,2018,8017.9239
6500000,³í,2018,16.9666
6510000,³í,2018,5
6520000,³í,2018,11.9666
6110000,³í,2019,149.9721
6260000,³í,2019,2951.2151
3400000,³í,2019,622.6167
6270000,³í,2019,3513.2595
3480000,³í,2019,2999.9085
6280000,³í,2019,11326.5996
3570000,³í,2019,9580.3456
6290000,³í,2019,5757.936
3630000,³í,2019,3256.8364
6300000,³í,2019,1357.6167
