ORGAN_CODE,INSTI_NM,YYMM,VAL
4460000,자치단체,2017,"357,840,853,180"
4470000,자치단체,2017,"515,796,406,735"
4480000,자치단체,2017,"314,918,584,833"
5570000,자치단체,2017,"193,446,861,106"
6440000,자치단체,2017,"6,492,103,988,141"
4490000,자치단체,2017,"1,535,932,756,088"
4500000,자치단체,2017,"615,570,445,399"
4510000,자치단체,2017,"656,781,430,587"
4520000,자치단체,2017,"1,000,209,299,668"
4530000,자치단체,2017,"779,740,845,540"
4540000,자치단체,2017,"683,695,971,019"
5580000,자치단체,2017,"151,784,250,973"
5680000,자치단체,2017,"807,200,729,110"
4550000,자치단체,2017,"374,654,330,229"
4570000,자치단체,2017,"528,560,033,576"
4580000,자치단체,2017,"444,797,443,055"
4590000,자치단체,2017,"344,892,071,493"
4600000,자치단체,2017,"531,803,293,324"
4610000,자치단체,2017,"548,371,383,092"
4620000,자치단체,2017,"488,911,401,953"
6450000,자치단체,2017,"6,043,532,091,897"
4640000,자치단체,2017,"1,612,341,352,047"
4670000,자치단체,2017,"997,217,438,921"
4680000,자치단체,2017,"1,092,049,162,209"
4690000,자치단체,2017,"745,905,244,247"
4700000,자치단체,2017,"646,583,061,310"
4710000,자치단체,2017,"693,403,421,078"
4720000,자치단체,2017,"575,971,478,041"
4730000,자치단체,2017,"351,909,064,923"
4740000,자치단체,2017,"306,637,085,561"
4750000,자치단체,2017,"300,547,211,410"
4760000,자치단체,2017,"342,609,701,442"
4770000,자치단체,2017,"325,565,371,471"
4780000,자치단체,2017,"534,708,948,685"
4790000,자치단체,2017,"503,716,594,427"
6460000,자치단체,2017,"7,216,352,500,652"
4800000,자치단체,2017,"721,402,760,839"
4810000,자치단체,2017,"1,033,906,648,115"
4820000,자치단체,2017,"1,027,864,228,973"
4830000,자치단체,2017,"749,362,401,975"
4840000,자치단체,2017,"667,522,989,806"
4850000,자치단체,2017,"349,339,729,239"
4860000,자치단체,2017,"323,103,842,550"
4870000,자치단체,2017,"272,215,544,167"
4880000,자치단체,2017,"601,456,885,242"
4890000,자치단체,2017,"417,027,446,019"
4900000,자치단체,2017,"467,605,549,993"
4910000,자치단체,2017,"370,035,364,283"
4920000,자치단체,2017,"361,999,486,184"
4930000,자치단체,2017,"607,123,500,978"
4940000,자치단체,2017,"483,259,406,379"
4950000,자치단체,2017,"410,332,921,250"
4960000,자치단체,2017,"369,723,517,187"
4970000,자치단체,2017,"523,319,239,469"
4980000,자치단체,2017,"354,978,170,780"
4990000,자치단체,2017,"431,714,418,023"
5000000,자치단체,2017,"341,231,084,878"
5010000,자치단체,2017,"504,789,638,986"
6470000,자치단체,2017,"8,882,328,031,414"
5020000,자치단체,2017,"1,639,798,914,509"
5050000,자치단체,2017,"1,189,735,065,947"
5060000,자치단체,2017,"757,323,274,381"
5070000,자치단체,2017,"938,108,142,841"
5080000,자치단체,2017,"1,177,977,610,472"
5090000,자치단체,2017,"636,931,558,090"
5100000,자치단체,2017,"699,600,355,325"
5110000,자치단체,2017,"747,596,971,698"
5120000,자치단체,2017,"529,336,572,868"
5130000,자치단체,2017,"859,731,972,879"
5140000,자치단체,2017,"279,979,189,495"
5150000,자치단체,2017,"538,922,655,531"
5160000,자치단체,2017,"323,845,027,390"
5170000,자치단체,2017,"246,758,737,298"
5180000,자치단체,2017,"368,211,600,634"
5190000,자치단체,2017,"351,057,203,163"
5200000,자치단체,2017,"298,051,400,475"
5210000,자치단체,2017,"403,975,096,757"
5220000,자치단체,2017,"469,540,148,619"
5230000,자치단체,2017,"435,822,125,029"
5240000,자치단체,2017,"384,575,855,401"
5250000,자치단체,2017,"524,236,675,817"
5260000,자치단체,2017,"158,646,176,546"
6480000,자치단체,2017,"8,318,694,129,289"
5670000,자치단체,2017,"2,823,305,131,712"
