STDR_YY,ORG_CD,POPUL_CNT,HOHOLD_CNT,RESI_CNT,BUGE_AMT,REGION_CD,ADMDSTRC_CD,FULL_SQUARE,ROAD_SQUARE,CULT_SQUARE,FORE_SQUARE,RIVER_SQUARE,COAST_ADJ_AT,INLAND_CTY_AT,PBORD_AMT,TRSPT_AMT,MNCP_AMT,LCPB_AMT,COAST_LEN,GVN_MNG_SQUARE,GVN_SPRT_SQUARE,ETC_SQUARE,DMG_STORM_FLOOD_AMT,CRTR_ID,LAST_MODUSR_ID,CREAT_DT,LAST_MODF_DT
2017,3160000,410742,172346,255376,525712807785,MPA,SUB_SPC,2011.99543,284.88367,0,347,29,0,1,1018546580,14524803510,637392316044,16307067239,0,524.9198,144.52444,1346.20469,1800,skgo,skgo,20230203,20230203
2017,3170000,235154,106162,134038,374530749990,MPA,SUB_SPC,1302.0164,202.15379,0,320,115,0,1,1658840040,10178774270,398210560650,14370228168,0,311.81662,136.21519,855.99059,0,skgo,skgo,20230203,20230203
2017,3180000,368550,162626,213851,498182938049,MPA,SUB_SPC,2454.81774,427.09181,0,4,0,0,1,4082271060,22460929618,532586150229,22862301060,0,1315.76113,39.39094,1103.87787,0,skgo,skgo,20230203,20230203
2017,3190000,396217,166520,238722,479583569214,MPA,SUB_SPC,1635.42131,234.80258,0,373,4,0,1,547310770,14036527030,540154572748,17333005121,0,335.998,6.71791,1296.6875,0,skgo,skgo,20230203,20230203
2017,3200000,503297,242972,270536,562701829777,MPA,SUB_SPC,2956.88486,260.76165,0,1739,36,0,1,1673517770,21171314320,591679179078,10593538877,0,332.89221,18.39365,2610.206,0,skgo,skgo,20230203,20230203
2017,3210000,441102,157978,264445,553910298369,MPA,SUB_SPC,4698.55541,626.26079,0,1607,64,0,1,4864992340,31088692260,771891551102,5482348294,0,943.42848,410.8458,3347.81183,0,skgo,skgo,20230203,20230203
2017,3220000,556164,210728,353898,672937489931,MPA,SUB_SPC,3950.11523,669.48897,0,713,17,0,1,28157472316,47067844715,951339701899,42364335283,0,1123.87578,195.82075,2633.8605,0,skgo,skgo,20230203,20230203
2017,3230000,664496,241411,402666,606163359026,MPA,SUB_SPC,3387.4855,581.94059,0,106,194,0,1,8733865093,17309734139,653210345582,23373525741,0,1198.53696,174.1067,2018.17514,0,skgo,skgo,20230203,20230203
2017,3240000,436223,163351,252622,548922878859,MPA,SUB_SPC,2458.8972,362.29231,0,297,5992,0,1,3240613950,24387185165,587064245720,16896556607,0,793.27904,251.78397,1417.04529,8400,skgo,skgo,20230203,20230203
2017,3250000,44218,20759,38411,135396013350,YNA,SUB_MPC,282.59964,74.66156,0,13,0,1,0,553304670,4719784350,138882282330,558241744,5.88,89.21124,0.2219,194.8601,61200,skgo,skgo,20230203,20230203
2017,3260000,110039,46093,92854,250067405174,YNA,SUB_MPC,1397.83241,134.20402,0,678,1,1,0,1396333450,13642057194,256260118291,786227420,16.8,152.4719,59.17922,1190.36449,637422,skgo,skgo,20230203,20230203
2017,3270000,88868,38077,76351,233433109293,YNA,SUB_MPC,973.63997,148.00477,0,276,0,1,0,3639809750,13955453920,238266455453,0,7.52,229.57599,7.98649,740.31399,43200,skgo,skgo,20230203,20230203
2017,3280000,123521,51416,107187,263105709570,YNA,SUB_MPC,1419.56279,134.87766,0,403,0,1,0,11660834380,11634881830,269014745000,1123484941,41.84,157.5707,119.86184,1145.89915,313493,skgo,skgo,20230203,20230203
2017,3290000,371703,153934,298252,479123026280,YNA,SUB_MPC,2966.59793,313.63955,0,1040,0,0,1,3283052780,25792885700,490167349500,319386230,0,489.21795,32.10944,2451.92694,72600,skgo,skgo,20230203,20230203
2017,3300000,270727,100950,187869,303941174710,YNA,SUB_MPC,1663.28943,235.13315,0,460,0,0,1,8557753950,14849821310,363645058630,349095870,0,334.38198,31.63893,1300.86902,16150,skgo,skgo,20230203,20230203
2017,3310000,273854,109597,221700,345672633866,YNA,SUB_MPC,2681.2384,273.82363,0,910,0,1,0,1968765780,5869554690,351406375279,2288397369,34.56,313.22794,107.01331,2265.81055,15395,skgo,skgo,20230203,20230203
2017,3320000,302924,114011,216622,396895507096,YNA,SUB_MPC,3936.59813,235.08614,0,2285,4,0,1,3832983460,22231109460,414872130766,231703573,0,810.07616,88.37648,3040.44179,5651,skgo,skgo,20230203,20230203
2017,3330000,412039,155172,291874,518471895890,YNA,SUB_MPC,5147.3049,400.91384,0,2866,0,1,0,12596039180,28867325580,539288823304,0,17.25,618.70901,218.54464,4314.09295,7200,skgo,skgo,20230203,20230203
2017,3340000,333301,129779,247240,456982440252,YNA,SUB_MPC,4188.64577,387.76277,0,1371,0,1,0,14514600910,22569010910,467582717945,0,84.61,773.40589,647.18256,2772.30392,26400,skgo,skgo,20230203,20230203
2017,3350000,244469,100968,181105,344737807770,YNA,SUB_MPC,6527.43894,388.95873,0,4120,0,0,1,14956858940,19333752970,351742310571,1631655416,0,878.6792,473.53152,5179.85972,600,skgo,skgo,20230203,20230203
2017,3360000,117382,43383,83187,273601921828,YNA,SUB_MPC,18149.15296,1319.64883,0,4229,0,1,0,11415775840,34909188100,278650705708,398149320,127.51,4343.76111,6526.186,7289.66475,45917,skgo,skgo,20230203,20230203
2017,3370000,206742,79788,148280,269685362550,YNA,SUB_MPC,1209.85709,175.63223,0,301,0,0,1,5475490170,12231946880,286523069740,0,0,212.45626,7.5087,992.62493,105600,skgo,skgo,20230203,20230203
2017,3380000,179996,72792,139584,248593089550,YNA,SUB_MPC,1020.69042,161.18367,0,244,0,1,0,7984905970,10304519250,258846664010,515082408,7.22,187.98348,4.739,830.14644,435639,skgo,skgo,20230203,20230203
2017,3390000,229219,92305,161087,328432685650,YNA,SUB_MPC,3609.31669,324.30456,0,1248,0,0,1,2492293020,12920858020,338167662209,419889070,0,1210.58163,392.48036,2008.8373,16341,skgo,skgo,20230203,20230203
2017,3400000,161651,59336,123323,458590285747,YNA,SUB_MPC,21829.80211,1045.43874,1565.7828,14482,31,1,0,15934229880,43775873100,474897772485,19147528610,65.61,1741.42584,3642.16895,16457.09222,600,skgo,skgo,20230203,20230203
2017,3410000,78986,33318,59654,226712675961,YNA,SUB_MPC,705.63704,171.4356,0,0,0,0,1,3737852400,14009771200,235980915351,1888478720,0,209.14381,0,499.63773,0,skgo,skgo,20230203,20230203
2017,3420000,349379,136701,261639,525087253826,YNA,SUB_MPC,18216.16316,1003.88597,0,11385,67,0,1,5245069232,26622989220,532033041831,8012040602,0,2143.13769,2354.37757,13728.5441,0,skgo,skgo,20230203,20230203
2017,3430000,191992,79183,132109,325248937157,YNA,SUB_MPC,1732.83029,340.66037,0,206,18,0,1,4161273580,8857787850,334559076642,104706981,0,450.36851,328.87167,958.38091,0,skgo,skgo,20230203,20230203
