ORGAN_CODE,YY,VAL
4880000,2017,"66,736"
4890000,2017,"43,755"
4900000,2017,"64,680"
4910000,2017,"40,136"
4920000,2017,"36,868"
4930000,2017,"73,604"
4940000,2017,"55,616"
4950000,2017,"82,872"
4960000,2017,"34,328"
4970000,2017,"54,774"
4980000,2017,"46,111"
4990000,2017,"52,109"
5000000,2017,"31,765"
5010000,2017,"42,070"
6470000,2017,"2,691,706"
5020000,2017,"513,832"
5030000,2017,"242,469"
5040000,2017,"271,363"
5050000,2017,"257,903"
5060000,2017,"142,908"
5070000,2017,"166,272"
5080000,2017,"421,799"
5090000,2017,"108,371"
5100000,2017,"100,615"
5110000,2017,"100,947"
5120000,2017,"73,294"
5130000,2017,"259,485"
5140000,2017,"24,215"
5150000,2017,"53,474"
5160000,2017,"26,006"
5170000,2017,"17,479"
5180000,2017,"38,529"
5190000,2017,"43,346"
5200000,2017,"33,768"
5210000,2017,"45,138"
5220000,2017,"120,864"
5230000,2017,"49,253"
5240000,2017,"33,259"
5250000,2017,"50,974"
5260000,2017,"9,975"
6480000,2017,"3,380,404"
5670000,2017,"1,057,032"
5670123,2017,"253,349"
5670140,2017,"227,942"
5670156,2017,"181,917"
5670184,2017,"203,926"
5670206,2017,"189,898"
5310000,2017,"346,681"
5330000,2017,"135,833"
5340000,2017,"114,252"
5350000,2017,"532,132"
5360000,2017,"107,898"
5370000,2017,"254,073"
5380000,2017,"338,535"
5390000,2017,"27,849"
5400000,2017,"68,207"
5410000,2017,"64,101"
5420000,2017,"54,060"
5430000,2017,"44,642"
5440000,2017,"48,831"
5450000,2017,"36,340"
5460000,2017,"40,175"
5470000,2017,"62,763"
5480000,2017,"47,000"
6500000,2017,"657,083"
6510000,2017,"478,700"
6520000,2017,"178,383"
6110000,2018,"9,765,623"
3000000,2018,"153,065"
3010000,2018,"125,725"
3020000,2018,"228,999"
3030000,2018,"308,221"
3040000,2018,"355,559"
3050000,2018,"348,052"
3060000,2018,"403,209"
3070000,2018,"435,868"
3080000,2018,"319,164"
3090000,2018,"339,413"
3100000,2018,"543,752"
3110000,2018,"483,197"
3120000,2018,"310,313"
3130000,2018,"375,077"
3140000,2018,"464,185"
3150000,2018,"596,949"
3160000,2018,"404,497"
3170000,2018,"233,917"
3180000,2018,"367,778"
3190000,2018,"396,203"
3200000,2018,"501,957"
3210000,2018,"433,951"
3220000,2018,"542,364"
3230000,2018,"666,635"
3240000,2018,"427,573"
6260000,2018,"3,441,453"
3250000,2018,"42,795"
3260000,2018,"110,534"
3270000,2018,"86,912"
3280000,2018,"120,109"
3290000,2018,"362,357"
3300000,2018,"266,515"
3310000,2018,"279,917"
3320000,2018,"296,952"
3330000,2018,"409,347"
3340000,2018,"327,791"
3350000,2018,"242,956"
3360000,2018,"122,957"
3370000,2018,"207,840"
3380000,2018,"176,246"
3390000,2018,"223,361"
3400000,2018,"164,864"
6270000,2018,"2,461,769"
3410000,2018,"79,401"
3420000,2018,"351,291"
3430000,2018,"184,372"
3440000,2018,"150,501"
3450000,2018,"439,489"
3460000,2018,"432,759"
3470000,2018,"573,413"
3480000,2018,"250,543"
6280000,2018,"2,954,642"
3490000,2018,"122,499"
3500000,2018,"66,233"
3510500,2018,"416,542"
3520000,2018,"346,359"
3530000,2018,"537,161"
3540000,2018,"524,640"
3550000,2018,"312,680"
3560000,2018,"538,596"
3570000,2018,"68,896"
3580000,2018,"21,036"
6290000,2018,"1,459,336"
3590000,2018,"94,475"
3600000,2018,"304,172"
3610000,2018,"216,369"
3620000,2018,"439,773"
3630000,2018,"404,547"
6300000,2018,"1,489,936"
3640000,2018,"229,071"
3650000,2018,"244,421"
3660000,2018,"484,663"
3670000,2018,"349,790"
3680000,2018,"181,991"
6310000,2018,"1,155,623"
3690000,2018,"231,973"
3700000,2018,"330,732"
3710000,2018,"164,642"
3720000,2018,"206,434"
3730000,2018,"221,842"
5690000,2018,"314,126"
5690000,2018,"314,126"
6410000,2018,"13,077,153"
3740000,2018,"1,201,166"
3750000,2018,"286,433"
3760000,2018,"377,647"
3770000,2018,"180,974"
5610000,2018,"356,112"
3780000,2018,"954,347"
3790000,2018,"234,133"
3800000,2018,"224,885"
3810000,2018,"495,329"
3820000,2018,"447,026"
3830000,2018,"576,831"
3840000,2018,"251,512"
3850000,2018,"325,319"
3860000,2018,"843,768"
3900000,2018,"326,841"
3910000,2018,"495,642"
3920000,2018,"96,226"
3930000,2018,"660,343"
5550000,2018,"356,311"
5560000,2018,"304,032"
3940000,2018,"1,044,189"
3950000,2018,"450,449"
3960100,2018,"296,223"
4100100,2018,"297,517"
3970000,2018,"58,142"
3980000,2018,"203,553"
3990000,2018,"681,828"
4000000,2018,"220,070"
4010000,2018,"448,687"
4020000,2018,"276,916"
4030000,2018,"153,932"
4040000,2018,"254,415"
4050000,2018,"1,035,126"
5620000,2018,"249,118"
5630000,2018,"427,719"
5640000,2018,"358,289"
4060000,2018,"451,848"
4070000,2018,"214,206"
4080000,2018,"183,579"
4090000,2018,"423,170"
5530000,2018,"758,722"
5540000,2018,"363,782"
5590000,2018,"216,951"
5600000,2018,"150,676"
5700000,2018,"111,525"
4140000,2018,"44,633"
4160000,2018,"62,918"
4170000,2018,"116,095"
6420000,2018,"1,543,052"
4180000,2018,"280,640"
4190000,2018,"344,070"
4200000,2018,"212,957"
4210000,2018,"91,272"
4220000,2018,"44,858"
4230000,2018,"81,682"
4240000,2018,"68,326"
4250000,2018,"69,949"
4260000,2018,"46,726"
4270000,2018,"39,730"
4280000,2018,"42,610"
4290000,2018,"37,700"
4300000,2018,"46,413"
4310000,2018,"25,084"
4320000,2018,"23,408"
4330000,2018,"32,136"
4340000,2018,"28,144"
4350000,2018,"27,347"
6430000,2018,"1,599,252"
5710000,2018,"837,749"
5720000,2018,"176,818"
5725000,2018,"209,404"
5730000,2018,"254,302"
5735000,2018,"197,225"
4390000,2018,"210,504"
4400000,2018,"135,386"
4420000,2018,"33,680"
4430000,2018,"51,465"
4440000,2018,"49,715"
5570000,2018,"37,317"
4450000,2018,"78,218"
4460000,2018,"39,133"
4470000,2018,"95,830"
4480000,2018,"30,255"
6440000,2018,"2,126,282"
4490000,2018,"646,075"
5650000,2018,"257,978"
5660000,2018,"388,097"
4500000,2018,"107,581"
4510000,2018,"101,990"
4520000,2018,"312,822"
4530000,2018,"174,162"
4540000,2018,"120,230"
5580000,2018,"43,731"
5680000,2018,"167,770"
4550000,2018,"53,222"
4570000,2018,"68,078"
4580000,2018,"53,922"
4590000,2018,"32,296"
4600000,2018,"101,082"
4610000,2018,"80,083"
4620000,2018,"63,238"
6450000,2018,"1,836,832"
4640000,2018,"651,091"
4650000,2018,"345,065"
4660000,2018,"306,026"
4670000,2018,"272,645"
4680000,2018,"294,062"
4690000,2018,"112,169"
4700000,2018,"82,554"
4710000,2018,"85,331"
4720000,2018,"94,444"
4730000,2018,"25,963"
4740000,2018,"24,589"
4750000,2018,"23,221"
4760000,2018,"30,072"
4770000,2018,"29,209"
4780000,2018,"57,041"
4790000,2018,"54,441"
6460000,2018,"1,882,970"
4800000,2018,"232,327"
4810000,2018,"283,300"
4820000,2018,"279,389"
4830000,2018,"113,839"
4840000,2018,"156,564"
4850000,2018,"46,917"
4860000,2018,"29,624"
4870000,2018,"27,117"
4880000,2018,"65,777"
4890000,2018,"42,803"
4900000,2018,"63,933"
4910000,2018,"39,312"
4920000,2018,"36,144"
4930000,2018,"71,901"
4940000,2018,"54,731"
4950000,2018,"81,991"
4960000,2018,"33,420"
4970000,2018,"54,127"
4980000,2018,"45,795"
4990000,2018,"51,477"
5000000,2018,"31,219"
5010000,2018,"41,263"
6470000,2018,"2,676,831"
5020000,2018,"510,013"
5030000,2018,"239,400"
5040000,2018,"270,613"
5050000,2018,"256,864"
5060000,2018,"141,104"
5070000,2018,"162,180"
5080000,2018,"421,494"
5090000,2018,"106,801"
5100000,2018,"101,595"
5110000,2018,"100,297"
5120000,2018,"71,874"
5130000,2018,"261,093"
5140000,2018,"23,919"
5150000,2018,"52,944"
5160000,2018,"25,678"
5170000,2018,"17,356"
5180000,2018,"38,108"
5190000,2018,"43,057"
5200000,2018,"32,969"
5210000,2018,"44,672"
5220000,2018,"118,828"
5230000,2018,"53,274"
5240000,2018,"32,843"
5250000,2018,"50,036"
5260000,2018,"9,832"
6480000,2018,"3,373,988"
5670000,2018,"1,053,601"
5670123,2018,"252,896"
5670140,2018,"227,337"
5670156,2018,"180,535"
5670184,2018,"199,457"
5670206,2018,"193,376"
5310000,2018,"345,987"
5330000,2018,"133,720"
5340000,2018,"113,888"
5350000,2018,"533,672"
5360000,2018,"106,744"
5370000,2018,"250,516"
5380000,2018,"348,639"
5390000,2018,"27,667"
5400000,2018,"67,025"
5410000,2018,"63,396"
5420000,2018,"53,243"
5430000,2018,"43,990"
5440000,2018,"47,533"
5450000,2018,"35,952"
5460000,2018,"40,044"
5470000,2018,"62,455"
5480000,2018,"45,916"
6500000,2018,"667,191"
6510000,2018,"485,946"
6520000,2018,"181,245"
6110000,2019,"9,729,107"
3000000,2019,"151,290"
3010000,2019,"126,171"
3020000,2019,"228,670"
3030000,2019,"300,889"
3040000,2019,"351,350"
3050000,2019,"346,194"
3060000,2019,"397,015"
3070000,2019,"442,650"
3080000,2019,"313,954"
3090000,2019,"333,362"
3100000,2019,"532,905"
3110000,2019,"480,032"
3120000,2019,"309,397"
3130000,2019,"374,035"
3140000,2019,"458,165"
3150000,2019,"591,796"
3160000,2019,"406,664"
3170000,2019,"232,810"
3180000,2019,"367,678"
3190000,2019,"395,963"
3200000,2019,"500,094"
3210000,2019,"430,826"
3220000,2019,"545,169"
3230000,2019,"675,961"
3240000,2019,"436,067"
6260000,2019,"3,413,841"
3250000,2019,"41,910"
3260000,2019,"108,229"
3270000,2019,"88,165"
3280000,2019,"116,711"
3290000,2019,"357,880"
3300000,2019,"271,247"
3310000,2019,"274,480"
3320000,2019,"291,132"
3330000,2019,"406,102"
3340000,2019,"321,004"
3350000,2019,"239,062"
3360000,2019,"129,566"
3370000,2019,"209,395"
3380000,2019,"176,148"
3390000,2019,"218,094"
3400000,2019,"164,716"
6270000,2019,"2,438,031"
3410000,2019,"77,421"
3420000,2019,"345,469"
3430000,2019,"175,277"
3440000,2019,"148,113"
3450000,2019,"437,710"
3460000,2019,"428,614"
3470000,2019,"568,887"
3480000,2019,"256,540"
6280000,2019,"2,957,026"
3490000,2019,"135,135"
3500000,2019,"64,427"
3510500,2019,"408,862"
3520000,2019,"366,550"
3530000,2019,"532,704"
3540000,2019,"511,577"
3550000,2019,"303,471"
3560000,2019,"544,556"
3570000,2019,"69,178"
3580000,2019,"20,566"
6290000,2019,"1,456,468"
3590000,2019,"98,585"
3600000,2019,"300,975"
3610000,2019,"218,060"
3620000,2019,"433,533"
3630000,2019,"405,315"
6300000,2019,"1,474,870"
3640000,2019,"226,771"
3650000,2019,"240,473"
3660000,2019,"481,222"
3670000,2019,"349,373"
3680000,2019,"177,031"
6310000,2019,"1,148,019"
3690000,2019,"223,581"
3700000,2019,"323,819"
3710000,2019,"159,656"
3720000,2019,"217,796"
3730000,2019,"223,167"
5690000,2019,"340,575"
5690000,2019,"340,575"
6410000,2019,"13,239,666"
3740000,2019,"1,194,465"
3750000,2019,"278,377"
3760000,2019,"371,754"
3770000,2019,"175,866"
5610000,2019,"368,468"
3780000,2019,"942,724"
3790000,2019,"234,678"
3800000,2019,"220,041"
3810000,2019,"488,005"
3820000,2019,"451,868"
3830000,2019,"567,044"
3840000,2019,"244,235"
3850000,2019,"322,809"
3860000,2019,"829,996"
3900000,2019,"316,552"
3910000,2019,"513,027"
3920000,2019,"94,768"
3930000,2019,"650,918"
5550000,2019,"344,613"
5560000,2019,"306,305"
3940000,2019,"1,066,351"
3950000,2019,"466,157"
3960100,2019,"297,671"
4100100,2019,"302,523"
3970000,2019,"58,289"
3980000,2019,"199,265"
3990000,2019,"701,830"
4000000,2019,"226,379"
4010000,2019,"473,682"
4020000,2019,"275,852"
4030000,2019,"161,153"
4040000,2019,"272,455"
4050000,2019,"1,059,609"
5620000,2019,"253,896"
5630000,2019,"436,679"
5640000,2019,"369,034"
4060000,2019,"454,040"
4070000,2019,"215,834"
4080000,2019,"183,405"
4090000,2019,"437,221"
5530000,2019,"815,396"
5540000,2019,"372,654"
5590000,2019,"222,314"
5600000,2019,"148,379"
5700000,2019,"111,083"
4140000,2019,"43,824"
4160000,2019,"62,415"
4170000,2019,"116,874"
6420000,2019,"1,541,502"
4180000,2019,"281,291"
4190000,2019,"349,215"
4200000,2019,"213,442"
4210000,2019,"90,522"
4220000,2019,"43,866"
4230000,2019,"81,786"
4240000,2019,"67,228"
4250000,2019,"69,150"
4260000,2019,"46,575"
4270000,2019,"39,127"
4280000,2019,"42,106"
4290000,2019,"37,271"
4300000,2019,"45,584"
4310000,2019,"24,917"
4320000,2019,"22,764"
4330000,2019,"31,672"
4340000,2019,"27,260"
4350000,2019,"27,726"
