ORGAN_CODE,FIELD_NM,YY,VAL
3170000,단독주택-계,2017,9410
3170000,단독주택-일반,2017,561
3170000,단독주택-다가구,2017,7723
3170000,단독주택-영업겸용,2017,1126
3170000,아파트,2017,29385
3170000,연립주택,2017,3923
3170000,다세대주택,2017,19056
3170000,비거주용건물내주택,2017,540
3180000,주택,2017,99225
3180000,단독주택-계,2017,15401
3180000,단독주택-일반,2017,2498
3180000,단독주택-다가구,2017,10529
3180000,단독주택-영업겸용,2017,2374
3180000,아파트,2017,68204
3180000,연립주택,2017,1500
3180000,다세대주택,2017,12928
3180000,비거주용건물내주택,2017,1192
3190000,주택,2017,111548
3190000,단독주택-계,2017,15626
3190000,단독주택-일반,2017,3398
3190000,단독주택-다가구,2017,10278
3190000,단독주택-영업겸용,2017,1950
3190000,아파트,2017,58320
3190000,연립주택,2017,5236
3190000,다세대주택,2017,31283
3190000,비거주용건물내주택,2017,1083
3200000,주택,2017,124170
3200000,단독주택-계,2017,22196
3200000,단독주택-일반,2017,4448
3200000,단독주택-다가구,2017,14823
3200000,단독주택-영업겸용,2017,2925
3200000,아파트,2017,53548
3200000,연립주택,2017,6498
3200000,다세대주택,2017,40024
3200000,비거주용건물내주택,2017,1904
3210000,주택,2017,128977
3210000,단독주택-계,2017,6491
3210000,단독주택-일반,2017,1030
3210000,단독주택-다가구,2017,4379
3210000,단독주택-영업겸용,2017,1082
3210000,아파트,2017,91064
3210000,연립주택,2017,5647
3210000,다세대주택,2017,24436
3210000,비거주용건물내주택,2017,1339
3220000,주택,2017,173282
3220000,단독주택-계,2017,7334
3220000,단독주택-일반,2017,1004
3220000,단독주택-다가구,2017,4825
3220000,단독주택-영업겸용,2017,1505
3220000,아파트,2017,127206
3220000,연립주택,2017,6149
3220000,다세대주택,2017,30806
3220000,비거주용건물내주택,2017,1787
3230000,주택,2017,196672
3230000,단독주택-계,2017,9322
3230000,단독주택-일반,2017,1054
3230000,단독주택-다가구,2017,6274
3230000,단독주택-영업겸용,2017,1994
3230000,아파트,2017,117214
3230000,연립주택,2017,4892
3230000,다세대주택,2017,63581
3230000,비거주용건물내주택,2017,1663
3240000,주택,2017,120940
3240000,단독주택-계,2017,10742
3240000,단독주택-일반,2017,673
3240000,단독주택-다가구,2017,7929
3240000,단독주택-영업겸용,2017,2140
3240000,아파트,2017,75263
3240000,연립주택,2017,3551
3240000,다세대주택,2017,30251
3240000,비거주용건물내주택,2017,1133
6260000,주택,2017,1200422
6260000,단독주택-계,2017,214082
6260000,단독주택-일반,2017,86132
6260000,단독주택-다가구,2017,95977
6260000,단독주택-영업겸용,2017,31973
6260000,아파트,2017,776079
6260000,연립주택,2017,31542
6260000,다세대주택,2017,164786
6260000,비거주용건물내주택,2017,13933
3250000,주택,2017,16893
3250000,단독주택-계,2017,4625
3250000,단독주택-일반,2017,1308
3250000,단독주택-다가구,2017,1921
3250000,단독주택-영업겸용,2017,1396
3250000,아파트,2017,5387
3250000,연립주택,2017,709
3250000,다세대주택,2017,5361
3250000,비거주용건물내주택,2017,811
3260000,주택,2017,38735
3260000,단독주택-계,2017,15384
3260000,단독주택-일반,2017,8146
3260000,단독주택-다가구,2017,5442
3260000,단독주택-영업겸용,2017,1796
3260000,아파트,2017,14893
3260000,연립주택,2017,1293
3260000,다세대주택,2017,6594
3260000,비거주용건물내주택,2017,571
3270000,주택,2017,30842
3270000,단독주택-계,2017,14667
3270000,단독주택-일반,2017,8207
3270000,단독주택-다가구,2017,4738
3270000,단독주택-영업겸용,2017,1722
3270000,아파트,2017,10080
3270000,연립주택,2017,989
3270000,다세대주택,2017,4505
3270000,비거주용건물내주택,2017,601
3280000,주택,2017,46222
3280000,단독주택-계,2017,14743
3280000,단독주택-일반,2017,7669
3280000,단독주택-다가구,2017,5464
3280000,단독주택-영업겸용,2017,1610
3280000,아파트,2017,26005
3280000,연립주택,2017,1177
3280000,다세대주택,2017,3759
3280000,비거주용건물내주택,2017,538
3290000,주택,2017,135673
3290000,단독주택-계,2017,26906
3290000,단독주택-일반,2017,12181
3290000,단독주택-다가구,2017,11259
3290000,단독주택-영업겸용,2017,3466
3290000,아파트,2017,85041
3290000,연립주택,2017,1724
3290000,다세대주택,2017,20499
3290000,비거주용건물내주택,2017,1503
3300000,주택,2017,87052
3300000,단독주택-계,2017,13765
3300000,단독주택-일반,2017,4105
3300000,단독주택-다가구,2017,7138
3300000,단독주택-영업겸용,2017,2522
3300000,아파트,2017,56397
3300000,연립주택,2017,2762
3300000,다세대주택,2017,12794
3300000,비거주용건물내주택,2017,1334
3310000,주택,2017,100948
3310000,단독주택-계,2017,19804
3310000,단독주택-일반,2017,9847
3310000,단독주택-다가구,2017,7706
3310000,단독주택-영업겸용,2017,2251
3310000,아파트,2017,55596
3310000,연립주택,2017,3188
3310000,다세대주택,2017,21349
3310000,비거주용건물내주택,2017,1011
3320000,주택,2017,104480
3320000,단독주택-계,2017,7662
3320000,단독주택-일반,2017,1005
3320000,단독주택-다가구,2017,5171
3320000,단독주택-영업겸용,2017,1486
3320000,아파트,2017,84140
3320000,연립주택,2017,2711
3320000,다세대주택,2017,9264
3320000,비거주용건물내주택,2017,703
3330000,주택,2017,139613
3330000,단독주택-계,2017,12648
3330000,단독주택-일반,2017,2661
3330000,단독주택-다가구,2017,7890
3330000,단독주택-영업겸용,2017,2097
3330000,아파트,2017,109634
3330000,연립주택,2017,2608
3330000,다세대주택,2017,13794
3330000,비거주용건물내주택,2017,929
3340000,주택,2017,114558
3340000,단독주택-계,2017,18124
3340000,단독주택-일반,2017,5997
3340000,단독주택-다가구,2017,9598
3340000,단독주택-영업겸용,2017,2529
3340000,아파트,2017,78744
3340000,연립주택,2017,5156
3340000,다세대주택,2017,11499
